KAUNO MIESTO SAVIVALDYBĖS ADMINISTRACIJOS FILIALO DAINAVOS SENIŪNIJAI PRISKIRTŲ GATVIŲ IR JOSE ESANČIŲ PASTATŲ SĄRAŠAS,,,,
Eil. Nr.,Miesto dalis,Gatvės kodas,Gatvės pavadinimas,"Pastatų numeriai
"
1,8,18391,Alaušo g.            ,"3,5,5A, 7, 8, 10, 11, 12, 14, 16"
2,8,18452,J. Basanavičiaus al. ,"48, 50, 50A, 50B, 52, 56, 56A, 56C, 58, 60, 60A, 61, 61A, 62, 65, 67, 69"
3,8,18445,Birželio 23-iosios g. ,"1, 2, 3, 4, 5, 6, 7, 8, 9, 9A,10, 11,12, 12A, 13, 13A, 14, 15, 15A, 15B, 16, 17, 17A, 18, 19,19A, 21, 23, 23A, 23C, 23D, 23E, 23F, 23G, 25, 27A, 27B, 27D, 27E, 27F, 29, 31"
4,8,18474,Butrimonių g. ," 5, 5A, 5B, 7, 9, 9A, 11, 11a"
5,8,18514,Draugystės g.  ,"1, 1B, 1D, 1E, 3A, 3B, 3C, 3E, 5A, 5B, 5C, 5D, 5E, 5F, 5H, 7A, 7B, 7C, 9A, 9B, 9C, 9D, 9E, 9F, 9G"
6,8,18518,Dubingių g.,"1A, 1B, 3, 4, 5, 6, 7, 8, 9, 10, 10A, 10B, 11, 12, 14, 15, 16, 17, 18, 19, 20, 20A, 20B, 20C, 21, 21A, 22, 23,  25,  26A,  28, 29, 30, 31, 32, 33, 34, 35"
7,8,,Garažų,
8,8,18563,Gerovės skg. ,"4, 6, 6A, 8, 10, 11, 13, 15, 15A, 17, 19"
9,8,18582,Gražinos g.,"38, 40, 42, 44, 46, 48, 50, 50A, 52"
10,8,18704,Kovo 11-osios g.,"53B, 53C, 57, 57A, 59, 61, 63, 65, 65A, 67, 67A, 67B, 67P, 69, 71, 73, 74, 76,  80, 80A, 82, 84, 86, 88, 90, 90A, 90P, 92, 94, 96, 98, 100, 102, 104, 106, 106A, 108, 110, 112, 112A, 114, 116, 118, 120, 122, 124, 126, 128, 128A, 130, 130A"
