Eil.Nr.,Gatvės pavadinimas,Seniunija,Rajonas (vietovė),"Ilgis,m","Plotas, kv.m","Ilgis, m",Asfalto,Žvyro,Grunto,bet koks,,Namai
1,9-ojo Forto g.,Šilainių,Smėliai,1648,14523,1648,1648,,,,,
2,A. Račkaus g.,Šilainių,Romainiai,442,1945,442,177,265,,,,
3,Adomynės g.,Šilainių,Linkuva,156,936,156,,,,156,,
4,Adutiškio g.,Šilainių,Linkuva,520,1446,520,,,309,211,,
5,Agronomijos g.,Šilainių,Sargėnai,856,12140,856,856,,,,,
6,Aido g.,Šilainių,Sargėnai,377,3913,377,,377,,,,
7,Aitros g.,Šilainių,Sargėnai,,,,,,,,,
8,Alytaus g.,Šilainių,Linkuva,387,1875,387,387,,,,,
9,Alsos g.,Šilainių,Sargėnai,,,,,,,,,
10,Apuolės g.,Šilainių,Smėliai,930,21809,930,709,221,,,,
11,Arnavos g.,Šilainių,Smėliai,197,1182,197,,,,197,,
12,Audros g.,Šilainių,Smėliai,116,929,116,,116,,,,
13,Aukšt. Kaniūkų g.,Šilainių,Romainiai,1385,6733,1385,,1385,,,,
,A. Žmuidzinavičiaus g.,Šilainių,Linkuva,,,,,,,,,
14,Bačkonių g.,Šilainių,Linkuva,413,1652,413,25,388,,,,
15,Baisogalos g.,Šilainių,Linkuva,155,930,155,,,,155,,
16,Baltalksnių g.,Šilainių,Sargėnai,500,1500,0,,,,,,
17,Baltijos g.,Šilainių,Smėliai,2311,44802,2311,2311,,,,,
18,Baltų pr.,Vilijampolės Šilainių,Panerys Smėliai Milikoniai,3942,136851,3942,3942,,,,,Nuo 2 visi
19,Baltupio g.,Šilainių,Sargėnai,,,,,,,,,
20,Barupės g.,Šilainių,Sargėnai,200,600,0,,,,,,
21,Berlainių g.,Šilainių,Romainiai,1200,3600,0,,,,,,
22,Bernatonių g.,Šilainių,Linkuva,1654,7703,1654,,668,55,931,,
23,Beržų g.,Šilainių,Romainiai,800,2400,0,,,,,,
24,Bičiulių g.,Šilainių,Sargėnai,265,2830,265,,265,,,,
25,Bivylių g.,Šilainių,Romainiai Linkuva,700,4200,700,200,500,,,,
26,Bražuolės g.,Šilainių,Linkuva,114,912,114,,,,114,,
27,Chodkevičių g.,Šilainių,Romainiai,600,1800,0,,,,,,
28,Daugirdiškių g.,Šilainių,Sargėnai,200,600,0,,,,,,
29,Debesų g.,Šilainių,Smėliai,803,9394,803,663,60,80,,,
30,Dygūnių takas,Šilainių,Sargėnai,181,891,297,181,116,,,,
31,Dotnuvos g.,Šilainių,Smėliai,217,2062,217,,120,97,,,
32,Dumburio g.,Šilainių,Romainiai,334,592,334,334,,,,,
33,E. Cinzo g.,Šilainių,Linkuva,267,801,267,,267,,,,
,E. Volterio g.,Šilainių,Romainiai,,,,,,,,,
34,E. Galvanausko g.,Šilainių,Sargėnai,230,920,0,,,,,,
35,Eigirgalos g.,Šilainių,Linkuva,189,1323,189,,,,189,,
36,Eitkūnų g.,Šilainių,Smėliai,266,1596,266,,,,266,,
37,Endriejavo g.,Šilainių,Sargėnai,624,6402,624,624,,,,,
,Erškėčių,Šilainių,Sargėnai,,,,,,,,,
38,Gabijos g.,Šilainių,Linkuva,280,5600,280,,,280,,,
,Galindų,Šilainių,Smėliai,,,,,,,,,
39,Gailios g.,Šilainių,Romainiai,255,973,255,,255,,,,
40,Gamyklos g.,Šilainių,Sargėnai,160,2609,160,160,,,,,
41,Ganyklų g.,Šilainių,Romainiai,340,1148,340,,308,,32,,
42,Garso g.,Šilainių,Sargėnai,187,2188,187,,187,,,,
43,Gelmės g.,Šilainių,Sargėnai,,,,,,,,,
44,Giedros g.,Šilainių,Smėliai,254,3352,254,,254,,,,
,Gyrio,Šilainių,Romainiai,,,,,,,,,
45,Girios g.,Šilainių,Linkuva,1216,13634,1216,,270,,946,,
46,Gynelės g.,Šilainių,Sargėnai,351,1755,351,351,,,,,
47,Gysločių takas,Šilainių,Sargėnai,116,232,116,,116,,,,
48,Gluosnių g.,Šilainių,Sargėnai,,,,,,,,,
49,Goštautų g.,Šilainių,Smėliai,565,7638,565,324,196,45,,,
50,Griežlių takas,Šilainių,Sargėnai,77,308,77,,77,,,,
51,I. Štaro g.,Šilainių,Sargėnai,248,744,248,,248,,,,
,J. Bielinio,Šilainių,Linkuva,,,,,,,,,
,Jersikos,Šilainių,Linkuva,,,,,,,,,
52,J. Grušo g.,Šilainių,Milikoniai,525,6350,525,525,,,,,
53,J. Semaškos g.,Šilainių,Romainiai Linkuva,1536,5882,1536,262,674,600,,,
54,J. Skvirecko g.,Šilainių,Linkuva,867,6623,867,,,,867,,
55,J. Tūbelio g.,Šilainių,Sargėnai,200,600,0,,,,,,
56,Josvainių g.,Vilijampolės Šilainių,Veršvai Smėliai,1833,16484,1833,1609,224,,,,Nelyginiai 31a-49; Lyginiai 44-108
57,Jotvingių g.,Šilainių ,Milikoniai,617,12761,617,617,,,,,
58,Judrėnų g.,Šilainių ,Sargėnai,549,5477,549,549,,,,,
59,Kaimelės g.,Šilainių ,Romainiai,933,6531,933,,933,,,,
60,Kaltinėnų g.,Šilainių ,Sargėnai,600,6172,600,600,,,,,
61,Karalgirio g.,Šilainių ,Romainiai,345,1380,345,305,40,,,,
62,Karaliūnų g.,Šilainių ,Sargėnai,,,,,,,,,
63,Kaulenių takas,Šilainių ,Romainiai,135,405,135,,135,,,,
64,Klovainių g.,Šilainių ,Linkuva,541,5026,541,,,,541,,
,Knygnešių g.,Šilainių ,Linkuva,,,,,,,,,
65,Kražių g.,Šilainių ,Linkuva,558,2652,558,19,,155,384,,
